Name,Seasons,Games,Team,Wiki_Names,Birth_Year
Lee Mazzilli,2004–2005,269,BAL,Lee Mazzilli,1955
Mike Hargrove,2000–2003,647,BAL,Mike Hargrove,1949
Kevin Cash,2015–present,1356,TAM,Kevin Cash,1977
Joe Maddon,2006–2014,1459,TAM,Joe Maddon,1954
Lou Piniella,2003–2005,485,TAM,Lou Piniella,1943
Hal McRae,2001–2002,309,TAM,Hal McRae,1945
Larry Rothschild,1998–2001,499,TAM,Larry Rothschild,1954
Bob Melvin,2024–present,0,SFN,Bob Melvin,1961
Kai Correa,2023,3,SFN,Kai Correa,1988
Gabe Kapler,2020–2023,543,SFN,Gabe Kapler,1975
Bruce Bochy,2007–2019,2106,SFN,Bruce Bochy,1955
Felipe Alou,2003–2006,646,SFN,Felipe Alou,1935
Dusty Baker,1993–2002,1556,SFN,Dusty Baker,1949
Dave Roberts,2016–present,1195,LAN,Dave Roberts (baseball manager),1972
Don Mattingly,2011–2015,809,LAN,Don Mattingly,1961
Joe Torre,2008–2010,486,LAN,Joe Torre,1940
Grady Little,2006–2007,324,LAN,Grady Little,1950
Jim Tracy,2001–2005,810,LAN,Jim Tracy (baseball),1955
Davey Johnson,1999–2000,324,LAN,Davey Johnson,1943
Mike Shildt,2024-Present,0,SDP,Mike Shildt,1968
Bob Melvin,2022–2023,324,SDP,Bob Melvin,1961
Jayce Tingler,2020–2021,222,SDP,Jayce Tingler,1980
Rod Barajas,2019,8,SDP,Rod Barajas,1975
Andy Green,2016–2019,640,SDP,Andy Green (baseball),1977
Dave Roberts,2015,1,SDP,Dave Roberts (baseball manager),1972
Pat Murphy,2015,96,SDP,Pat Murphy (baseball coach),1958
Bud Black,2007–2015,1362,SDP,Bud Black,1957
Bruce Bochy,1995–2006,1926,SDP,Bruce Bochy,1955
Bud Black,2017–present,1032,COL,Bud Black,1957
Walt Weiss,2013–2016,648,COL,Walt Weiss,1963
Jim Tracy,2009–2012,602,COL,Jim Tracy (baseball),1955
Clint Hurdle,2002–2009,1159,COL,Clint Hurdle,1957
Buddy Bell,2000–2002,346,COL,Buddy Bell,1951
Torey Lovullo,2017–present,1032,ARI,Torey Lovullo,1965
Chip Hale,2015–2016,324,ARI,Chip Hale,1964
