Manager,Seasons,G,Team,Wins,Losses
Bob Melvin,2005–2009,677,ARI,,
Al Pedrique,2004,83,ARI,,
Bob Brenly,2001–2004,565,ARI,,
Buck Showalter,1998–2000,486,ARI,,
David Bell,2019–present,708,CIN,,
Jim Riggleman,2018,144,CIN,,
Bryan Price,2014–2018,666,CIN,,
Dusty Baker,2008–2013,972,CIN,,
Pete Mackanin,2007,80,CIN,,
Jerry Narron,2005–2007,337,CIN,,
Dave Miley,2003–2005,289,CIN,,
Bob Boone,2001–2003,428,CIN,,
Jack McKeon,1997–2000,551,CIN,,
Craig Counsell,2024–present,0,CHC,,
David Ross,2020–2023,546,CHC,,
Joe Maddon[e],2015–2019,810,CHC,,
Rick Renteria,2014,162,CHC,,
Dale Sveum,2012–2013,324,CHC,,
Mike Quade,2010–2011,199,CHC,,
Lou Piniella[d],2007–2010,609,CHC,,
Dusty Baker,2003–2006,648,CHC,,
Bruce Kimm*,2002,78,CHC,,
Rene Lachemann*,2002,1,CHC,,
Don Baylor,2000–2002,407,CHC,,
Craig Counsell,2015–2023,"1,332",MIL,,
Ron Roenicke,2011–2015,673,MIL,,
Ken Macha,2009–2010,324,MIL,,
Dale Sveum,2008,12,MIL,,
Ned Yost,2003–2008,959,MIL,,
Jerry Royster,2002,147,MIL,,
Davey Lopes,2000–2002,340,MIL,,
Oliver Marmol,2022–present,324,STL,,
Mike Shildt,2018–2021,451,STL,,
Mike Matheny *,2012–2018,1074,STL,,
Tony La Russa ‡,1996–2011,"2,591",STL,,
Derek Shelton,2020–present,546,PIT,218,328
Clint Hurdle,2011–2019,1455,PIT,735,720
John Russell,2008–2010,485,PIT,186,299
Jim Tracy,2006–2007,324,PIT,135,189
Pete Mackanin,2005,26,PIT,12,14
Lloyd McClendon,2001–2005,782,PIT,336,446
Gene Lamont,1997–2000,647,PIT,295,352
Brian Snitker,2016–present,1155,ATL,646,509
Fredi González,2011–2016,847,ATL,434,413
Bobby Cox‡,1990–2010,"3,269",ATL,"1,883","1,386"
Skip Schumaker,2023–present,161,MIA,84,77
Dan Jennings,2015,124,MIA,55,69
Don Mattingly,2016–2022,1030,MIA,443,587
Ozzie Guillén,2012,162,MIA,69,93
Mike Redmond,2013–2015,362,MIA,155,207
Jack McKeon,2011,90,MIA,40,50
Brandon Hyde‡,2011,1,MIA,0,1
Edwin Rodríguez,2010–2011,163,MIA,78,85
Fredi González,2007–2010,555,MIA,276,279
Joe Girardi*,2006,162,MIA,78,84
Jack McKeon*,2003–2005,448,MIA,241,207
Jeff Torborg,2002–2003,200,MIA,95,105
Tony Pérez†‡,2001,114,MIA,54,60
John Boles,1999–2001,371,MIA,165,206
Carlos Mendoza,2024–present,0,NYM,,
Buck Showalter,2022–2023,324,NYM,,
